id,url,text,w_what,w_where,w_when,w_who_author,w_who_victim,w_who_other,w_why,h_how,newspaper,activelearning_tag
200,https://gazzettadimodena.gelocal.it/modena/cronaca/2020/01/30/news/recuperato-un-fuoristrada-rubato-a-prignano-1.38404652,"SERRAMAZZONI. Fuoristrada rubato trovato e restituito al proprietario dalla polizia locale del Frignano. Lunedì gli agenti si sono insospettiti a Serra di fronte a una Jeep Grand Cherokee segnalata ferma a lato strada senza apparente motivo. Sono scesi, le hanno dato un’occhiata e si sono insospettiti ancor di più trovandola con le porte aperte. Così anche un eventuale cacciatore in uscita nella zona non l’avrebbe mai lasciata, per di più fermata in quella maniera indice di tutta fretta. Il primo pensiero è stato quello del furto, ma attivati i controlli sulla targa il fuoristrada non risultava rubato da nessuna parte. Risalendo all'intestatario, hanno scoperto che si trattava di una ditta di Prignano e, contattandola, hanno saputo dal titolare che il Cherokee era stato appena rubato e che lui stava proprio andando a sporgere denuncia ai carabinieri. È quindi sopraggiunto e ha ritirato il mezzo integro, tra mille ringraziamenti. Perché fosse stato sottratto e abbandonato in quella maniera a una quindicina di chilometri di distanza è tutto da capire. Non è escluso che il fuoristrada sia servito per fuggire da un altro teatro di furto. A fronte dell'accaduto, dalla polizia rinnovato invito ai cittadini a segnalare sempre qualsiasi circostanza sospetta. — D.M. ","[""fuoristrada""]","[""SERRAMAZZONI""]","[""Luned\u00ec""]",[],"[""titolare""]",[],,,Gazzetta di Modena,furto
209,https://gazzettadimodena.gelocal.it/modena/cronaca/2020/01/24/news/truffatrice-di-anziani-filmata-dalla-webcam-condannata-a-tre-anni-1.38378449,"Tre anni, un mese e dieci giorni di carcere è la pena inflitta a una modenese nomade di etnia sinti di 41 anni da mesi agli arresti domiciliari. È la donna diventata famosa per essere stata ripresa mentre rubava in casa di una anziana modenese in via Buozzi: una telecamera installata in cucina dal nipote della vittima ha ripreso secondo per secondo l’intrusione, la distrazione e il furto. In tutto ha rubato solo 5 euro ma era il gesto rapace che tra l’altro denotava una abilità notevole. Per questo e per un furto simile sempre ai danni di un altro anziano modenese, ieri il giudice le ha inflitto la pena (era difesa dall’avvocato Nicoletta Tietto). Riconoscendosi nel video, la donna si era spontaneamente presentata ai carabinieri che la stavano individuando. Ha confessato restituendo il denaro e dicendosi pentita. La vicenda risale alla mattina del 20 marzo 2019. La vittima è una donna di 89 anni che abita vicino a viale Gramsci. — ","[""5 euro""]","[""via Buozzi""]","[""mattina del 20 marzo 2019""]","[""modenese nomade di etnia sinti di 41 anni""]","[""una donna di 89 anni""]","[""carabinieri""]",,,Gazzetta di Modena,furto
210,https://gazzettadimodena.gelocal.it/modena/cronaca/2020/01/24/news/ladri-razziano-gioielli-in-appartamento-bottino-di-35mila-euro-1.38378455,"Un furto in appartamento è stato messo a segno nella serata di ieri da ladri che molto probabilmente avevano a disposizione un flessibile per aprire cassaforti. Il colpo in via Santa Caterina, zona Crocetta, in un appartamento dove i ladri sono entrati cercando la cassaforte. Dopo averla individuata, sono riusciti a forzarla, presumibilmente utilizzando il cosiddetto flessibile adatto a questo tipo di operazioni. Hanno agito con notevole rapidità e sono riusciti a dileguarsi prima che i proprietari rientrassero trovando l’abitazione completamente sottosopra. Il bottino consiste prevalentemente di gioielli e preziosi che erano contenuti nella cassaforte, per un valore complessivo che, in base ai primi accertamenti, è stato stimato in circa 35mila euro. Sul posto è intervenuta la Polizia, che ha raccolto la denuncia delle vittime del furto. — ","[""gioielli e preziosi"", ""cassaforte""]","[""via Santa Caterina, zona Crocetta""]","[""nella serata di ieri""]","[""ladri""]","[""appartamento"", ""proprietari""]","[""la Polizia""]",,,Gazzetta di Modena,furto
217,https://gazzettadimodena.gelocal.it/modena/cronaca/2020/01/23/news/venne-filmata-mentre-rubava-a-casa-di-anziana-modenese-condannata-a-3-anni-e-un-mese-1.38371554,"MODENA. Condannata a 3 anni, 1 mese e 10 giorno una donna di origine sinti e residente a Modena per il furto di 5 euro. Il fatto era avvenuto in viale Gramsci, dove aveva avvicinato una signora in strada e l'aveva convinta a farsi aprire le porte del suo appartamento. Qui truffandola le aveva sottratto 5 euro dalla borsetta. Era ignara, però, che l'anziana aveva installato, grazie a un vicino di casa, una piccola videocamera di sorveglianza che aveva ritratto tutta la scena. Oggi, 23 gennaio, è arrivata la condanna. ","[""5 euro""]","[""viale Gramsci""]",[],"[""donna di origine sinti e residente a Modena""]","[""signora""]","["" ""]",,,Gazzetta di Modena,furto
219,https://gazzettadimodena.gelocal.it/modena/cronaca/2020/01/23/news/modena-via-taglio-spaccata-a-la-sacoche-rubati-incasso-e-abiti-1.38371202,"MODENA «È la prima volta che subiamo un furto in 44 anni. E forse ci è anche andata bene perché tutto fa pensare che il ladro ha agito in fretta ed è scappato». Chiara Ferrari è la titolare de La Sacoche, il negozio di abbigliamento femminile in via del Taglio lungo il percorso dello shopping. Qualcuno ha deciso di “far visita” nottetempo lasciando anche danni da pagare: per entrare con una mazza ha spaccato una vetrina laterale in via Rismondo. «L’allarme ci è arrivato poco dopo l’una di notte. Il tempo di vestirci e arrivare e sul posto abbiamo trovato la polizia che stava già svolgendo un sopralluogo. La vetrina di via Rismondo era spaccata. Dentro erano stati rubati dei cappotti e degli abiti e mancava il fondo cassa». Questa in breve la vicenda del colpo che ha preso di mira il negozio di abbigliamento. Non si sa se è stato un ladro solo o in coppia. Secondo un testimone della zona Pomposa, si tratterebbe di una singola persona, vista scappare circa a quell’ora. Fatto sta che si è introdotto nel negozio dalla vetrina mandata in frantumi con una mazza approfittando della chiusura di riposo della pizzeria Grottino. Una volta dentro, ha preso la cassa prelevando 400 euro in contanti che servono da fondo cassa. Non ha dimenticato di prendere alcuni cappotti e abiti femminili in esposizione. Ma l’allarme suonava già da un pezzo e il vicinato si era tutto alzato. Qualcuno aveva chiamato la polizia già sentendo le mazzate contro la vetrina. Insomma, per il ladro era questione di qualche secondo e sarebbe stato preso. Così è scappato a gambe levate ma ha seminato alcuni capi di abbigliamento per la strada che sono poi stati recuperati. La polizia, svolti i primi rilevi, ha mandato ieri pomeriggi gli uomini della Scientifica per i rilievi. Sono state trovate alcune impronte che ora potrebbero inchiodare il ladro, sempre se sono archiviate le database. Difficile quantificare il danno del furto: ieri pomeriggio erano in corso controlli sui capi mancanti. — ","[""cappotti e abiti femminili in esposizione"", ""400 euro in contanti""]","[""via del Taglio""]","[""nottetempo""]","[""ladro solo o in coppia""]","[""La Sacoche, il negozio di abbigliamento femminile""]","[""polizia""]",,,Gazzetta di Modena,furto
221,https://gazzettadimodena.gelocal.it/modena/cronaca/2020/01/23/news/chiuse-in-bagno-cliente-lo-insegui-e-lo-investi-escort-40enne-patteggia-1.38373901,"Durante l’appuntamento per un rapporto sessuale nella sua casa, il cliente la derubò di preziosi, lei lo chiuse in bagno a lungo, poi, quando il suo amico fece scappare il prigioniero, inseguì in auto il presunto ladro in sella a un motorino cercando di sbatterlo fuori strada finché questi cadde a terra e si ferì. Il drammatico episodio nato dalla rabbia e dalla certezza di essere stata derubata in casa propria ha prodotto una serie di cause pesanti: sequestro di persona aggravato da abuso di ospitalità, furto, violenza privata e altro. Imputata era una 40enne brasiliana residente in città, assistita dall’avvocato Davide Ascari. Dopo il risarcimento volontario all’uomo inseguito e investito, che è rimasto ferito, ieri si è arrivati all’udienza preliminare. La brasiliana ha chiesto e ottenuto il patteggiamento: la pena (sospesa) fissata è stata di un anno e otto mesi. La vicenda è avvenuta nel luglio del 2018 nel miniappartamento in via San Faustino usato dalla “escort” brasiliana. Uno straniero aveva concordato con lei un incontro erotico che però, dopo la consumazione dell’atto dietro pagamento di 70 euro, si è concluso nel modo più drammatico possibile. Il cliente ha infatti chiesto di andare in bagno. Mentre era ritirato, la escort si è accorta che mancavano dei preziosi. Infuriata, ha perso la pazienza ed è corsa a chiudere a chiave in bagno il cliente accusandolo del furto. L’uomo ha cercato di uscire in tutti i modi: urlando, battendo i pugni sulla porta. Finché un amico della escort, entrato in casa, ha aperto il bagno lasciando scappare l’uomo. Ma la donna si è precipitata fuori casa. Quando ha visto il cliente scappare in motorino, è salita sulla sua auto e l’ha inseguito. Il tallonamento è proseguito per chilometri. La donna ha cercato di tamponare il presunto ladro con l’intento di mandarlo fuori strada. Finché, arrivati a Formigine, c’è riuscita. L’uomo è accaduto su una pista ciclabile facendosi male. Dopo è scattata una denuncia contro di lei. — ","[""preziosi""]","[""miniappartamento in via San Faustino""]","[""luglio del 2018""]","[""cliente"", ""uomo inseguito e investito""]","[""40enne brasiliana""]","[""avvocato Davide Ascari"", ""un amico della escort""]",,,Gazzetta di Modena,furto
224,https://gazzettadimodena.gelocal.it/modena/cronaca/2020/01/20/news/castelvetro-un-residence-sotto-assedio-dei-ladri-1.38352930,"CASTELVETRO. Ladri in azione in via Martiri della libertà sabato sera. Ladri che, in un colpo solo, e nel giro di pochissimo tempo, hanno fatto irruzione in ben tre appartamenti. Ad essere stato preso di mira, infatti, è stato un residence di cui fanno parte dodici abitazioni. Tutte con ingresso indipendente, ma comunque vicine tra di loro: nonostante ciò, i malviventi sono riusciti a raccogliere indisturbati il loro bottino, senza che nessuno si accorgesse di nulla. Al momento del furto, infatti, avvenuto presumibilmente tra le 18.30 e le 19.30, i tre appartamenti svaligiati erano vuoti, mentre in tutti gli altri erano presenti i relativi inquilini e proprietari, che stavano trascorrendo il sabato sera tra le mura domestiche ignari di quello che stava accadendo a pochi metri da loro. «Io ero in casa - racconta Tania Bazzani, referente del condominio - eppure non ho sentito nulla. Abbiamo anche tre cani qui nel residence, che di solito abbaiano anche se uno starnutisce, eppure non hanno mostrato segni di agitazione. Ci chiediamo come possa essere successo». I carabinieri, arrivati subito sul posto, hanno fatto i primi rilievi proprio per cercare di capire la dinamica dell’irruzione. Una prima ipotesi, è che i malviventi si siano arrampicati dalle grondaie su un balcone al primo piano. Lì, avrebbero rotto le finestre, riuscendo quindi ad entrare, ma non trovando molto: l’abitazione, infatti, è in attesa di essere affittata e dunque disabitata. Insoddisfatti, poi, i ladri hanno raggiunto il balcone di un altro appartamento adiacente. In questo caso, i proprietari sono stati più sfortunati, perché al loro rientro hanno trovato tutti i cassetti rovesciati e, all’appello, mancavano oro e contanti. «A quel punto - continua Bazzani - sono andati giù per la scala interna, lasciando anche delle impronte di fango e, rompendo una finestra, sono entrati in un appartamento al pianterreno. Gli inquilini si sono trasferiti da poco, quindi per ora hanno solo pochi mobili, e sembrerebbe che da lì, i ladri, non abbiano portato via nulla». Quello che non si riescono a spiegare i residenti, è come sia stato possibile che nessuno di loro abbia sentito né visto nulla. «È una zona tranquilla questa - aggiunge Bazzani - e ci siamo sempre sentiti molto al sicuro. Abbiamo attivo il controllo di vicinato, e pensavamo che fosse maggiormente efficace. Abbiamo anche creato da un po’ di tempo un gruppo su Whatsapp in cui ci teniamo aggiornati sulle situazioni sospette. Che, comunque, sono sempre molto poche, qui. Sabato, invece, non è stato così». Forse esperti, è probabile che i giorni scorsi i ladri abbiano tenuto sotto controllo il condominio e, non appena è stato il momento, hanno agito in totale tranquillità. — ","[""oro e contanti""]","[""CASTELVETRO"", ""via Martiri della libert\u00e0""]","[""sabato sera"", ""tra le 18.30 e le 19.30""]","[""ladri"", ""malviventi""]","[""tre appartamenti"", ""un residence""]","[""inquilini e proprietari""]",,,Gazzetta di Modena,furto
158549,https://gazzettadimodena.gelocal.it/modena/cronaca/2020/03/15/news/donna-denunciata-per-tentato-furto-1.38598006,"SASSUOLO. Una donna di 53 anni residente a Sassuolo è stata indentificata e denunciata alla Procura della Repubblica da parte dei Carabinieri della stazione sassolese. La donna, che di professione è operai, sarebbe stata protagonista di un tentato furto di una borsetta. Il fatto risale alla metà di febbraio quando la 53enne è stata beccata “pizzicata” all’interno degli uffici dell’associazione volontari ospedalieri. I locali si trovano presso l’Ospedale civile di Sassuolo dove la donna si stava aggirando. Il tentativo di sottrarre la borsetta è stato segnalato ai Carabinieri che quindi hanno iniziato con le indagini. I militari dell’Arma, dunque, hanno in un primo momento identificato la sassolese che è stata quindi denunciata alla Procura per tentativo di furto. — ","[""una borsetta""]","[""presso l\u2019Ospedale civile di Sassuolo""]","[""met\u00e0 di febbraio""]","[""Una donna di 53 anni residente a Sassuolo""]",[],"[""Carabinieri della stazione sassolese""]",,,Gazzetta di Modena,furto
226,https://gazzettadimodena.gelocal.it/modena/cronaca/2020/01/19/news/vede-i-ladri-e-spara-in-alto-un-83enne-di-san-felice-adesso-e-indagato-1.38351850,"SAN FELICE. Allarmato dal cane, è uscito di notte impugnando la sua pistola regolarmente detenuta, da ex appartenente alle forze dell’ordine. E si è trovato davanti almeno tre uomini, che avevano già dato l’assalto al magazzino adiacente la sua abitazione. Ha urlato un paio di frasi e, vedendo i ladri incerti sul da farsi, ha esploso due colpi d’arma da fuoco in aria. A quel punto i ladri si sono allontanati, così la vittima del tentato furto, un 83enne, ha chiamato prima la vigilanza e poi i carabinieri, per informarli dell’accaduto. Oggi l’indagato è lui: i militari gli hanno sequestrato l’arma, informando la Procura, che lo ha iscritto nel registro degli indagati per esplosioni pericolose. L’episodio si è verificato alcuni giorni fa, dopo la mezzanotte, all’indomani di altri furti che hanno colpito la zona di San Biagio, incluso un caseificio e un negozio di vendita di carni. Sui social l’allarme era scattato, con la preoccupazione dei cittadini della zona. «Era passata la mezzanotte da poco – ha riferito l’uomo - quando il mio cane ha preso insistentemente ad abbaiare. Ho aperto la porta e lo sentivo abbaiare con maggiore veemenza. Ho temuto un’intrusione, così, data anche la mia età, ho preso con me la Beretta calibro 7.65 che detengo regolarmente da tempo. In cortile c’erano almeno due uomini. Incuranti, stavano passando al resto della banda che era in strada materiale che avevano appena rubato nel mio magazzino. Ho urlato “chi è?, chi è per provare a dissuaderli. Nella concitazione, nella paura, nel fatto che non sembrassero affatto spaventati, ho esploso i due colpi in aria. Era un semplice avvertimento. Solo per impaurirli e farli fuggire... E infatti si sono allontanati e ho dato l’allarme». Ieri l’anziano ha ricevuto gli atti che lo mettono sotto accusa. Laconico il suo commento: «Mi sono rivolto ad un legale…». - Interpellato, l’avvocato Tullio Virgili conferma: «Sì, e sono francamente dispiaciuto e meravigliato che una persona onesta debba passare, a quell’età, questo tipo di situazioni. Ha peraltro chiamato lui, collaborando e fornendo inoltre le immagini del sistema di videosorveglianza. Contiamo di risolvere al più presto con buonsenso questa situazione, con la collaborazione della Procura». ","[""materiale""]","[""SAN FELICE""]","[""di notte""]","[""tre uomini""]","[""un 83enne""]","[""cane"", ""la vigilanza"", ""i carabinieri""]",,,Gazzetta di Modena,furto
99,https://gazzettadimodena.gelocal.it/modena/cronaca/2020/03/04/news/modena-maxi-furto-all-azienda-scam-i-ladri-fanno-razzia-di-prodotti-1.38546341,"MODENA. Colpo grosso alla Scam, l’azienda specializzata in fertilizzanti ed agrofarmaci, in strada Bellaria, ai piedi del cavalcavia da e per Montale. L’altra notte è stato portato a termine un saccheggio di prodotti tra i più costosi, per un valore di decine e decine di migliaia d’euro, un bottino ancora da quantificare con precisione. Il furto è stato messo a segno nella notte tra domenica e lunedì: si è trattato un’azione rapida e precisa che ha impegnato, presumibilmente, almeno un manipolo di malviventi professionisti. In considerazione dell’obiettivo scelto, quasi certamente si tratta di un furto su commissione: fertilizzanti, concimi ed altri prodotti chimici, per altro di alta qualità, che si impiegano in agricoltura, sono merce specifica che ha un mercato nero altrettanto specifico. Chi ha agito voleva quel tipo di bottino e già sapeva dove piazzarlo, mettendosi quindi in azione con un piano ben stabilito e con i giusti mezzi per realizzarlo. In base a quanto si è riusciti a sapere, la banda di ladri ha attaccato lo stabilimento dal retro, forzando un portone di accesso laterale. Una volta all'interno, i malviventi hanno caricato rapidamente un intero camion, riempiendolo di sacchi e di contenitori con varie tipologie di prodotti dell’azienda. Dopodiché si sono allontanati con il camion per poi dileguarsi senza lasciare traccia. La posizione dell'azienda in quel tratto di strada Bellaria ha sicuramente favorito una rapida fuga ai malviventi: ci sono infatti le tangenziali e la complanare che collegano in modo veloce con il resto della provincia e le autostrade. La polizia sta indagando: al setaccio, oltre alle varie immagini del sistema d’allarme dell'azienda anche quelle private delle ditte che si trovano nelle vicinanze, nonché i varchi elettronici collocati nei punti strategici delle principali arterie stradali che i ladri avrebbero potuto percorrere, al fine di avere tracce e indizi utili per le indagini che sono in corso. In azienda nella giornata di ieri nessuno ha voluto rilasciare dichiarazioni sul furto e sulla sua effettiva entità. La Scam, nel 1987 fu la prima azienda in Italia, ad introdurre e commercializzare il primo insetticida d'origine biologica naturale. Come si legge nel sito aziendale, la Scam, dal 2003 spa il cui socio di maggioranza è Progeo Sca che detiene l’88 per cento del capitale sociale, è “un’azienda totalmente italiana, leader nella produzione di organo minerale, all’avanguardia nella formulazione e confezionamento di agrofarmaci, biostimolanti e concimi speciali”. — ","[""prodotti tra i pi\u00f9 costosi, per un valore di decine e decine di migliaia d\u2019euro""]","[""Scam, l\u2019azienda specializzata in fertilizzanti ed agrofarmaci, in strada Bellaria, ai piedi del cavalcavia da e per Montale""]","[""nella notte tra domenica e luned\u00ec""]","[""un manipolo di malviventi professionisti""]","[""La Scam""]","[""polizia""]",,,Gazzetta di Modena,furto
